,Model,balancing_technique,f1_mean_test,f1_mean_train,f1_sd_test,f1_sd_train,qwk_mean_test,qwk_mean_train,qwk_sd_test,qwk_sd_train,balanced_acc_mean_test,balanced_acc_mean_train,balanced_acc_sd_test,balanced_acc_sd_train,mcc_mean_test,mcc_mean_train,mcc_sd_test,mcc_sd_train
13,XGBoost,None,0.3089060987490308,0.46008278966765975,0.009964268352814056,0.014497405797820422,0.3755504036514282,0.5655213286382359,0.014349266605548305,0.008298438262272317,0.32093981244154557,0.4591345977630287,0.008625029470401363,0.00960499395830356,0.20799615336005156,0.4125319763902439,0.011730048017485274,0.007692922688928777
14,LightGBM,None,0.3096206711205182,0.4465715079843327,0.009399959478314417,0.012480752139482361,0.3804503275515856,0.5650731323435212,0.014078289122650429,0.0027409260020197996,0.3233648574084282,0.4470204410324281,0.005984619678106597,0.006992048494223345,0.21364960383144727,0.3948532185444375,0.008658646280868609,0.00467683771378756
15,CatBoost,None,0.311451882373472,0.43994519874807647,0.007859411540395328,0.010943655980589542,0.39125440843342163,0.5550234051064339,0.01614939736893675,0.015402604555827301,0.3274244115050057,0.44312203060168587,0.006211485217096099,0.005308203156417218,0.22307168308088787,0.3986402687467264,0.009476651312385164,0.002629858206791776
16,Random Forest,SMOTE (oversampling),0.33929269642809173,0.5926354332329364,0.010676282519012583,0.021537185442611392,0.3747524138064621,0.6225341328601718,0.019194091444674877,0.019901711838407513,0.3526089102753761,0.6299576082675478,0.014402374704422027,0.012809392705469982,0.21949606122369203,0.5145076254131364,0.011058373000824153,0.014951190972263849
17,AdaBoost,SMOTE (oversampling),0.29910245901194077,0.3369976032905483,0.005785026114800903,0.00989082991749331,0.32139841810013514,0.41922398443475084,0.03028366998203766,0.01669954330192527,0.3251896041450124,0.37402409028117567,0.005363306594709464,0.005740347800550909,0.17069948741705313,0.22194712220492482,0.005394540624560432,0.00729569127385136
18,Gradient Boosting,SMOTE (oversampling),0.3215227472766188,0.41133842135318677,0.010285781866583004,0.014623355889184805,0.3725875869482758,0.5036433689546819,0.011402689144527516,0.012576299457568534,0.3457176907850127,0.4547154634891591,0.006870932320046086,0.0032864466902442877,0.2128426961184048,0.320564053372034,0.011892183262795127,0.009982065824693435
19,Bagging,SMOTE (oversampling),0.3040376132773335,0.4573146131507741,0.011789630962082406,0.015065625333811408,0.297641894410522,0.4949599389091558,0.02772893559008675,0.021906912776921233,0.3186745163866633,0.5066170041945623,0.017698475970421675,0.009206517171202069,0.16110879311896925,0.3537965864030294,0.011548247706621837,0.016460690743529165
20,XGBoost,SMOTE (oversampling),0.3299238598385355,0.5242525437545829,0.008763025427062613,0.012693218639484593,0.37137433093726996,0.5758984867934953,0.01826456319584909,0.01714835479734977,0.34192270414813714,0.5439920290904213,0.010667985210492843,0.011624431012282468,0.20843347416150465,0.4256419331227135,0.005803034005365131,0.004920322737820376
21,LightGBM,SMOTE (oversampling),0.336661333111431,0.5061455436187965,0.010363203691011163,0.01874386317724601,0.3766173184363955,0.5711778395714602,0.006731855050775512,0.018534846998547072,0.351953543939015,0.5315747585630304,0.012184008549759226,0.012921997975795761,0.22081835464665858,0.4080100112501134,0.006125269454619061,0.010636033164476777
22,CatBoost,SMOTE (oversampling),0.3230149442316433,0.48382244908982736,0.005636876389762602,0.018799906202106635,0.34914809980236594,0.5368553833327538,0.017958391042726625,0.027334035807393357,0.3444306911731002,0.5346731683306567,0.01044794245187819,0.008552446827246383,0.20376316188436042,0.3970803048761061,0.008603803297048048,0.011448129889818002
23,Random Forest,RandomOverSampler (oversampling),0.31473984656243914,0.5550141754038374,0.006282558056411799,0.0060127567313449405,0.3894805670569001,0.6041206746239572,0.013082750115466512,0.004482677149652898,0.32707711752281776,0.533811744258373,0.004505160795712259,0.003917125572440196,0.21758333613126166,0.48012391989224995,0.005379263579086173,0.006347864068793123
24,AdaBoost,RandomOverSampler (oversampling),0.3064781593623639,0.34594950140006764,0.01017652403764761,0.006618228507976268,0.3548572308227083,0.4583524660364137,0.01815471686045608,0.016804521527175334,0.33971384444437075,0.3970065755669687,0.011316353662480988,0.00638068331467603,0.1778220677335065,0.22952045379680372,0.013107684928958044,0.0024104728420101776
25,Gradient Boosting,RandomOverSampler (oversampling),0.32841897211342086,0.42114973872803496,0.007066366003838128,0.009759517205235926,0.3842506177553401,0.5209507491433536,0.009247672494345063,0.008746855779739694,0.3468983171954168,0.45509223181965497,0.003963584675291626,0.006627646641157126,0.20913460193137431,0.31796116024166154,0.00712491284363113,0.012170394826968477
26,Bagging,RandomOverSampler (oversampling),0.30781799784347724,0.4561137755774385,0.006955404298040763,0.012116533070078228,0.3431478936120523,0.5194541171628531,0.016784336822180005,0.011796598493873073,0.31204849925083333,0.4619340985438119,0.006367203974931936,0.008517925648753397,0.16982152683979346,0.3418952470236571,0.009407592627881036,0.012302619740738893
27,XGBoost,RandomOverSampler (oversampling),0.31820631803888383,0.4994314727628777,0.005486271755263243,0.014459568276025056,0.3662593021273741,0.573639455369169,0.007036314438511568,0.01741069965849827,0.3252213004792399,0.49345801008230616,0.0026322310484304234,0.012299951043939918,0.19913446775911856,0.4090810185840109,0.006977872602750247,0.012985655836140298
28,LightGBM,RandomOverSampler (oversampling),0.3318468694968982,0.4921433848755318,0.008609547306010382,0.015700421778967827,0.392178389382819,0.5781204455761624,0.011100788311515725,0.006183706132174249,0.3378927105281907,0.48960666552223603,0.006422882769568903,0.017753911627073952,0.21737104267104254,0.39243156069967833,0.006738351450086952,0.006913355815854357
29,CatBoost,RandomOverSampler (oversampling),0.3299186728828124,0.4958665409049582,0.010482631296199654,0.013954303938688774,0.3996801302355289,0.5707590872517947,0.019314484943525983,0.005508844572380243,0.3373638394396987,0.48789367628257524,0.00786365463244547,0.014241064847335333,0.22185159077586145,0.40621076651632987,0.004806874954018563,0.006591279540373472
30,Random Forest,ADASYN (oversampling),0.30964781031733235,0.5427526809105203,0.013389588220485764,0.017902841524994915,0.3541210172432372,0.5926202596775676,0.012327070024922481,0.019120993838807405,0.3368410133815673,0.604111111181445,0.010203614155864762,0.009582177317100482,0.20163227030155753,0.4812358843915021,0.017256570166978607,0.012541200938390677
31,AdaBoost,ADASYN (oversampling),0.26437811987906823,0.3029554731650449,0.01516500569204661,0.01257877456718406,0.2981697658391682,0.3904022617980153,0.03891964530766187,0.03191760362635403,0.3157423727952976,0.37037200628924744,0.018307128595328164,0.007298753308895261,0.1680132945985245,0.21841656105654947,0.011031036909409488,0.004746456128054134
32,Gradient Boosting,ADASYN (oversampling),0.3108307649623662,0.4029231930469588,0.005261022926508274,0.006445201140352668,0.3694275506541545,0.5032859470890418,0.013937485085453614,0.009124678661727103,0.3342003989550114,0.44075529890980236,0.007502463852585883,0.008208011413567966,0.20971627295519762,0.3192472871207257,0.007298614955383267,0.006466792295744504
33,Bagging,ADASYN (oversampling),0.299225677426863,0.4421421432968251,0.006297791139101585,0.011888453992822054,0.3024174793299245,0.4964860677665085,0.015003639678263788,0.02134764463803116,0.3179487387776987,0.5003564595465145,0.007039366999843268,0.005176282917698784,0.16205817647856985,0.3440236758136772,0.005639700241275459,0.012111452766190748
34,XGBoost,ADASYN (oversampling),0.3267595128359351,0.5130566019992642,0.0038735836362452196,0.008474662416946093,0.37391951856384475,0.5754094379969199,0.015930703185999182,0.016567596235807454,0.3357650199979938,0.5303743495906522,0.0043295429386973035,0.013070664145408294,0.21221197279361714,0.4152058785583038,0.009157267784316334,0.00504623906436879
35,LightGBM,ADASYN (oversampling),0.32718908144021475,0.5041420483522927,0.0063429986792936455,0.010252850716363006,0.3882622839869937,0.5776535005437914,0.01374553577034094,0.0118938199389813,0.3356131233987102,0.5110714871105984,0.005598398171637883,0.010662274643275245,0.21669075798130372,0.40384671038253767,0.008651682289486316,0.007150651559780439
36,CatBoost,ADASYN (oversampling),0.3171999882674791,0.4577415291714604,0.008830477355786955,0.016830324518398415,0.35360814427762033,0.5184713710643417,0.019887730496781584,0.021944667340160665,0.34041953098570393,0.520815723657515,0.0083647410282746,0.006988283006600532,0.20654518875550054,0.3786521707148002,0.008798979087339202,0.014111172193135743
37,Random Forest,BorderlineSMOTE (oversampling),0.3300755208133868,0.5826539779039792,0.009232841285012738,0.013365214928713752,0.3897553763900735,0.6255608805454747,0.016470521500845336,0.012450394181239145,0.3410157945160444,0.5927336952638427,0.011296135722387383,0.009746629859061565,0.20992067295055822,0.5120522230728024,0.009814401209462172,0.00974671815372109
38,AdaBoost,BorderlineSMOTE (oversampling),0.30147247130866056,0.34105000014160797,0.012172527878403012,0.008927937750228248,0.3263034537288922,0.4345775557028313,0.01682938774433944,0.021276395679148026,0.32281148883299,0.37701714804340264,0.014910825169197764,0.012310032902074256,0.1658986598652695,0.21811787590907716,0.02571442449770385,0.019849636858591178
39,Gradient Boosting,BorderlineSMOTE (oversampling),0.3214345072853839,0.41340662626064617,0.012708093249518422,0.015441803037282426,0.3753407988389842,0.505303395579354,0.02118918783154471,0.009892158587230396,0.3489349107581271,0.4605548774252687,0.014480977010293938,0.0072253474485884615,0.20630971949411886,0.318604214575749,0.016307564323815145,0.010250340601255896
40,Bagging,BorderlineSMOTE (oversampling),0.3053393544857829,0.4710004461134156,0.005311886642150643,0.009141685409445769,0.32280974735939594,0.5227456592549156,0.03076889859858697,0.019975443893916752,0.31246151225873126,0.4953465200188594,0.006113110782333997,0.00953031283768826,0.160811622867491,0.3653414842291086,0.006203300601642084,0.012736310910560971
41,XGBoost,BorderlineSMOTE (oversampling),0.32374512263401545,0.5084835282003535,0.00574935586000044,0.013772190646061406,0.374334925623682,0.5728191443591575,0.028671603640279687,0.006653933002576785,0.340040910651136,0.5322662113010752,0.010596980917573877,0.015726345130414963,0.20538773707449579,0.4197590723431496,0.01181237339246286,0.006014035469735145
42,LightGBM,BorderlineSMOTE (oversampling),0.32981430898601655,0.49742126464354464,0.01138523508106196,0.012957301990788149,0.383281111479722,0.5691276083835639,0.017450038673027527,0.017345118605653444,0.34469133274225233,0.5203422900471233,0.012002791716345633,0.007736419949814388,0.21280685726008927,0.4009266303686866,0.008856272357613602,0.006198868327430103
43,CatBoost,BorderlineSMOTE (oversampling),0.32897287890402155,0.4843784509556153,0.003283838004552807,0.014511129085286123,0.37649096564745876,0.5527048062689117,0.018303645426796394,0.014232557560020868,0.35184855901570017,0.5256537112220181,0.010868635557878021,0.005136755413685506,0.20845232980481967,0.40023237662101546,0.011297732786069256,0.010445947439307122
44,Random Forest,RandomUnderSampler (undersampling),0.3068993077688261,0.37608403264006285,0.01306573330587452,0.01130414199110356,0.32468872800222737,0.4450370593857227,0.0059583960587171695,0.019349868908551938,0.33421857284523127,0.4403263128788132,0.011404128490126512,0.009195222221118049,0.17253704131187314,0.2523817718581184,0.01576828333847132,0.012479249966225014
45,AdaBoost,RandomUnderSampler (undersampling),0.2817839866528956,0.32159281074310303,0.0152589056647022,0.018100168656566464,0.32594630091728216,0.42319589603225083,0.01909433810494569,0.021589062433282267,0.3154776320538909,0.3689863684684937,0.01729655391286131,0.018968077029951416,0.15262561259247143,0.205416626407494,0.01876484656290861,0.0242571930621987
46,Gradient Boosting,RandomUnderSampler (undersampling),0.29937571742029145,0.36473076635933965,0.012912555292098386,0.012777709953358758,0.3170332706025213,0.44006170478210765,0.02606638571726915,0.022819083138884304,0.32200190757965136,0.41504060984733826,0.014483388785918688,0.004872282066004754,0.15875981925802507,0.2375241702124165,0.018746800018401524,0.013523604089592394
47,Bagging,RandomUnderSampler (undersampling),0.2734900411615202,0.32587608635657495,0.016406390769934436,0.016779691529974532,0.2567568448202905,0.36397534247514624,0.03876757344160386,0.026015867076278953,0.2987327351238537,0.3861786737152732,0.013444275328864675,0.00815970575206881,0.12814835749894105,0.19153184251320776,0.018297055405006195,0.014105830649673495
48,XGBoost,RandomUnderSampler (undersampling),0.286790612386437,0.3559307101188807,0.007296061676527967,0.01656874681132359,0.28852581544950884,0.40503911559792866,0.035971590632359905,0.03973366280523737,0.3150115506234792,0.4175508381168934,0.012226210831042255,0.014282952471929428,0.15218017698706213,0.232054226617909,0.016930393122744036,0.021241928160928663
49,LightGBM,RandomUnderSampler (undersampling),0.2920396882728199,0.36638444293981354,0.014680303280299331,0.01894156826881869,0.2844362201715492,0.4207069234562977,0.038740349534036184,0.04003759149256824,0.3121694893291501,0.41994937306737085,0.018808020695944703,0.011110858023944839,0.15547736532180734,0.23560579654981323,0.02539972476746125,0.019141166506580792
50,CatBoost,RandomUnderSampler (undersampling),0.2986327870467209,0.36794493129623795,0.013429920266683095,0.013995180287458364,0.3154574848922051,0.4345021661831951,0.02095193981877617,0.025245765445411676,0.32774646052605144,0.4324583196935521,0.013764832310445183,0.011831896983193773,0.16645777434667725,0.24705000218077133,0.019467519384076298,0.020537841275816055
51,Random Forest,EditedNearestNeighbours (undersampling),0.16818070784848915,0.20025029512598666,0.014507567698255223,0.019493231738830594,0.25857779669209924,0.34092571861858045,0.022169154389928256,0.03148306334535173,0.2954848807776475,0.3507712442804662,0.012235922822433893,0.015561311023086931,0.14698041062662626,0.19662440128488967,0.004508706828507144,0.009458881374586612
52,AdaBoost,EditedNearestNeighbours (undersampling),0.16451215218013265,0.1980671633546178,0.029396525745883192,0.03162989125322826,0.17459512174594083,0.2460086295546418,0.034291437863057835,0.04101979384864676,0.2671306285780222,0.3056518610157303,0.011891208002056081,0.018303074003520967,0.12362937818293884,0.17419774324389717,0.013435327823835008,0.0158808774381224
53,Gradient Boosting,EditedNearestNeighbours (undersampling),0.19115480433721813,0.22697654046839344,0.030369822648614403,0.03378849299369558,0.2466927614660112,0.33045223263241785,0.0235211653550552,0.03512522982295529,0.2935787231441654,0.35902916482767966,0.020037529683778862,0.021122996798697564,0.15029582087901666,0.20546532541739798,0.009169491844869862,0.009142272340302238
54,Bagging,EditedNearestNeighbours (undersampling),0.1809327299942119,0.21500200540857403,0.012864932013255241,0.019165449335003325,0.2275988924282834,0.31022034158569556,0.03950444497181841,0.040835852636551644,0.2880368965525174,0.34445023008534087,0.010251645638591792,0.018225797588175784,0.13130975288553218,0.1836417153862199,0.00798107090757899,0.015024200646674299
55,XGBoost,EditedNearestNeighbours (undersampling),0.20611263573077157,0.2446687901539138,0.03199402376758383,0.037315582212412525,0.23885014024427806,0.337165181504822,0.03710978943000403,0.05207049327737548,0.30104045423435377,0.37220381939682057,0.024283551105482463,0.026430071930389158,0.15388901612812292,0.2115425922558111,0.011746906671825841,0.014250997219926082
56,LightGBM,EditedNearestNeighbours (undersampling),0.20462058625227858,0.2462907896840858,0.026153135451483265,0.03135183515198189,0.24602964756923132,0.34332568760104853,0.01920339504495944,0.03657822466543769,0.29979781548233114,0.37725213979261685,0.014338597803064568,0.021222412517717552,0.15102606054803297,0.21105472864965674,0.004887461944577284,0.010593200026066639
57,CatBoost,EditedNearestNeighbours (undersampling),0.20579413275044894,0.24337963895895132,0.02804479142754652,0.028798950897878747,0.26186287375345857,0.3607575261377449,0.023813432674287968,0.031231270593545524,0.310995871738094,0.37900850772491274,0.01840860565493243,0.020473064675576576,0.1559327295890513,0.2132216505931613,0.012265302942068049,0.011312484954440939
58,Random Forest,NearMiss (undersampling),0.19853380244921473,0.2347789471890176,0.009967209747730651,0.005449793074687161,0.08838479768300078,0.12912241664542284,0.029244581485353003,0.018622682181051113,0.2671619618509827,0.31628159603169403,0.015831196592655566,0.006771950338019299,0.09300005685708679,0.14119923561981565,0.014694540525986743,0.006873559979195488
59,AdaBoost,NearMiss (undersampling),0.21630242558049,0.23026904178889226,0.011470825657752173,0.011373268129246819,0.13188170440054547,0.17947596901770785,0.011663090386431117,0.019405077732638856,0.273000861691184,0.2975946065922596,0.01784300142676003,0.006582087660583864,0.09451895689505173,0.11495491655307696,0.014740602423795742,0.008289666253615843
60,Gradient Boosting,NearMiss (undersampling),0.19356679821729406,0.21710566624345926,0.010850373938165866,0.010798711367881577,0.05683424846800733,0.08559087237294831,0.03354094624891047,0.03450363054464819,0.2553625656422587,0.2972959771624527,0.00636802505299646,0.010180167237238328,0.0846696759697893,0.11935547600223409,0.013318590344076175,0.008801051853156036
61,Bagging,NearMiss (undersampling),0.193213817436036,0.22276006560419362,0.014158322393599996,0.011455931835728855,0.07928052236407071,0.11133732659862743,0.031874022509863376,0.02666489832490209,0.25543962707179224,0.3007180209778572,0.012514724975266244,0.011469205975677764,0.06635663222614155,0.10677395217084631,0.012564615171193023,0.007776838109179309
62,XGBoost,NearMiss (undersampling),0.21163189398486576,0.23715638592108762,0.004911718299499319,0.005083219543514296,0.08974024003485996,0.1261106881190272,0.03446358568885271,0.028530659412092325,0.27240720198426815,0.3169755781276204,0.007855671575244333,0.006182310975228706,0.09944462162957093,0.13527981986616006,0.011514932966985593,0.010993154220510563
63,LightGBM,NearMiss (undersampling),0.19764237132704335,0.22715335887797136,0.012392603584114767,0.005105173039083911,0.06636949906974528,0.09269789128902557,0.03557286944363773,0.03207511145980858,0.2588995728986384,0.3058745368579002,0.006942880736342828,0.007227010273705171,0.08470263874773118,0.12567719561798052,0.014258156412220032,0.008710063254517156
64,CatBoost,NearMiss (undersampling),0.22795964799962584,0.25855492998297835,0.006843254256156737,0.003619775285522375,0.1295077833089059,0.17090230847149146,0.014513229008785588,0.017711712319524696,0.2825267994850867,0.3327218354455237,0.008350494791420238,0.006826084012788604,0.10841145363025544,0.15117613636861352,0.010585189495571586,0.007779787896738855
65,Random Forest,TomekLinks (undersampling),0.30839900081103816,0.4470905028290869,0.01294391902380951,0.008667571741543709,0.375730281749511,0.5631731620627894,0.02537164020568295,0.01377461834080279,0.3282947348597867,0.4536480126173733,0.011364064842673247,0.008178606105906172,0.23166748543847268,0.4305741583530951,0.018470964779199777,0.009237876202132523
66,AdaBoost,TomekLinks (undersampling),0.2936113701152795,0.3288531247448045,0.011248077090174016,0.005003987411383742,0.34808880977800744,0.46701407999441324,0.024767596507419477,0.008179435801063685,0.3116891378857202,0.3481620050576371,0.00900931446920218,0.006322824169650228,0.19842858240683517,0.25964368169376745,0.012445002884235844,0.012116471177327438
67,Gradient Boosting,TomekLinks (undersampling),0.31002159777418586,0.4019972338757024,0.011123590127240216,0.010410122963245625,0.3911639104327208,0.5280105375127047,0.018220656010428347,0.010468451361797299,0.3278813443210792,0.4058600063560302,0.007736814659281137,0.00672897192562924,0.22724172698229878,0.3314900813651638,0.009803604359194034,0.006090287038018956
68,Bagging,TomekLinks (undersampling),0.3014142150174246,0.42852970533571294,0.006956122407780223,0.00508755199300118,0.34130606230448557,0.5156942687928326,0.018674981865477728,0.006238297021257594,0.309317349202388,0.42328789315282167,0.0035491482144737307,0.003015009415330447,0.18711699196105727,0.3459539801036439,0.002114673385652104,0.0045629200781179685
69,XGBoost,TomekLinks (undersampling),0.3107111984465572,0.4587476282848952,0.004364936669063069,0.015204273475256514,0.37139681419958553,0.5553308409422509,0.013513725974183936,0.009888110936759485,0.32430349900201716,0.45524518599710956,0.00437486422860232,0.00989195379030654,0.21267970585022994,0.3951498094041713,0.005310117208745615,0.0066242167032289885
70,LightGBM,TomekLinks (undersampling),0.31944140586902015,0.4466958161640801,0.011696157596534102,0.012432076949472686,0.38082112439208754,0.5531328214925766,0.020351043554058278,0.009967155397638964,0.33165068520798335,0.44460448399278885,0.011787115483827399,0.007542085549861321,0.22503859222363368,0.3852298173217684,0.018424351432964763,0.007318952349695527
71,CatBoost,TomekLinks (undersampling),0.31261308408025335,0.4356611439307862,0.013563632119039621,0.01198308263934412,0.37624543712294356,0.5418169320550705,0.028288715067977952,0.013668253137322811,0.32680834052582064,0.43690557447994854,0.010093052432551488,0.007286604454422791,0.21862487502959627,0.3805950235895125,0.01123321990652563,0.006330103681667221
